행정구역별(읍면동),연령별,2019,2019,2019,2019,2019,2019,2019,2019
행정구역별(읍면동),연령별,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
　　　양구군,합계,"21,780","11,569","10,211",113.3,"21,365","11,413","9,952",114.7
　　　인제군,합계,"30,133","16,333","13,800",118.4,"29,630","16,071","13,559",118.5
　　　고성군,합계,"27,144","14,505","12,639",114.8,"25,520","13,321","12,199",109.2
　　　양양군,합계,"26,280","13,332","12,948",103.0,"25,863","13,095","12,768",102.6
　　　읍부,합계,"349,009","181,615","167,394",108.5,"333,325","171,693","161,632",106.2
　　　면부,합계,"338,833","179,013","159,820",112.0,"316,429","163,126","153,303",106.4
　　　동부,합계,"941,501","471,915","469,586",100.5,"919,806","460,703","459,103",100.3
　　　충주시,합계,"216,446","110,758","105,688",104.8,"208,759","105,977","102,782",103.1
　　　제천시,합계,"136,093","68,500","67,593",101.3,"133,782","67,369","66,413",101.4
　　　청주시,합계,"850,938","429,372","421,566",101.9,"830,095","417,979","412,116",101.4
　　　상당구,합계,"173,783","86,676","87,107",99.5,"172,165","85,947","86,218",99.7
　　　서원구,합계,"210,273","104,590","105,683",99.0,"205,407","102,101","103,306",98.8
　　　흥덕구,합계,"266,301","135,116","131,185",103.0,"258,149","130,585","127,564",102.4
　　　청원구,합계,"200,581","102,990","97,591",105.5,"194,374","99,346","95,028",104.5
　　　보은군,합계,"32,001","16,139","15,862",101.7,"31,293","15,790","15,503",101.9
　　　옥천군,합계,"49,117","24,706","24,411",101.2,"48,069","24,080","23,989",100.4
　　　영동군,합계,"48,004","24,076","23,928",100.6,"46,907","23,445","23,462",99.9
　　　진천군,합계,"87,525","47,307","40,218",117.6,"78,467","41,050","37,417",109.7
　　　괴산군,합계,"38,808","20,265","18,543",109.3,"37,290","19,300","17,990",107.3
　　　음성군,합계,"104,823","58,027","46,796",124.0,"90,758","47,851","42,907",111.5
　　　단양군,합계,"28,095","14,146","13,949",101.4,"27,781","14,025","13,756",102.0
　　　증평군,합계,"37,493","19,247","18,246",105.5,"36,359","18,656","17,703",105.4
　　　읍부,합계,"509,047","262,579","246,468",106.5,"487,871","249,601","238,270",104.8
　　　면부,합계,"671,818","352,947","318,871",110.7,"621,192","319,076","302,116",105.6
　　　동부,합계,"1,007,784","509,152","498,632",102.1,"975,568","492,908","482,660",102.1
　　　천안시,합계,"679,743","348,353","331,390",105.1,"649,584","330,692","318,892",103.7
　　　동남구,합계,"279,153","142,402","136,751",104.1,"265,485","134,436","131,049",102.6
　　　서북구,합계,"400,590","205,951","194,639",105.8,"384,099","196,256","187,843",104.5
　　　공주시,합계,"109,877","54,485","55,392",98.4,"106,959","52,984","53,975",98.2
　　　보령시,합계,"99,320","51,427","47,893",107.4,"95,202","48,314","46,888",103.0
　　　아산시,합계,"347,032","182,818","164,214",111.3,"318,633","165,184","153,449",107.6
　　　서산시,합계,"175,204","91,088","84,116",108.3,"168,621","87,440","81,181",107.7
　　　논산시,합계,"122,111","61,167","60,944",100.4,"116,166","58,076","58,090",100.0
　　　계룡시,합계,"41,153","20,531","20,622",99.6,"40,839","20,369","20,470",99.5
　　　당진시,합계,"169,171","90,358","78,813",114.6,"160,567","84,675","75,892",111.6
　　　금산군,합계,"54,442","27,198","27,244",99.8,"51,201","25,584","25,617",99.9
　　　부여군,합계,"65,337","32,446","32,891",98.6,"63,440","31,450","31,990",98.3
　　　서천군,합계,"51,826","26,010","25,816",100.8,"49,836","24,562","25,274",97.2
　　　청양군,합계,"30,783","15,600","15,183",102.7,"29,885","15,162","14,723",103.0
　　　홍성군,합계,"102,791","51,530","51,261",100.5,"99,198","49,116","50,082",98.1
　　　예산군,합계,"78,963","40,300","38,663",104.2,"75,571","37,989","37,582",101.1
　　　태안군,합계,"60,896","31,367","29,529",106.2,"58,929","29,988","28,941",103.6
　　　읍부,합계,"156,875","78,890","77,985",101.2,"151,177","75,787","75,390",100.5
　　　면부,합계,"363,012","181,958","181,054",100.5,"351,206","174,846","176,360",99.1
　　　동부,합계,"1,287,536","641,856","645,680",99.4,"1,261,080","627,994","633,086",99.2
　　　전주시,합계,"662,086","327,260","334,826",97.7,"651,092","322,025","329,067",97.9
　　　완산구,합계,"341,123","166,781","174,342",95.7,"336,237","164,451","171,786",95.7
　　　덕진구,합계,"320,963","160,479","160,484",100.0,"314,855","157,574","157,281",100.2
　　　군산시,합계,"270,635","138,144","132,491",104.3,"262,499","132,902","129,597",102.6
　　　익산시,합계,"290,119","145,682","144,437",100.9,"283,074","142,016","141,058",100.7
　　　정읍시,합계,"107,348","53,527","53,821",99.5,"103,510","51,189","52,321",97.8
　　　남원시,합계,"77,690","38,019","39,671",95.8,"76,215","37,371","38,844",96.2
　　　김제시,합계,"80,422","40,068","40,354",99.3,"77,674","38,236","39,438",97.0
　　　완주군,합계,"96,212","49,610","46,602",106.5,"91,499","46,859","44,640",105.0
　　　진안군,합계,"23,013","11,446","11,567",99.0,"22,501","11,245","11,256",99.9
　　　무주군,합계,"22,852","11,323","11,529",98.2,"22,522","11,221","11,301",99.3
